inventor_name,country,patents,global_rank,country_rank
Tao Luo,US,1057,1,1
Junyi Li,US,592,2,2
Xiaoxia Zhang,US,549,3,3
Jing Sun,US,446,4,4
Peter Gaal,US,353,5,5
"Frederick E. Shelton, IV",US,324,6,6
Wanshi Chen,US,308,7,7
Esmael Hejazi Dinan,US,307,8,8
Yan Zhou,US,304,9,9
Li Zhang,US,303,10,10
Shan Liu,US,300,11,11
Sony Akkarakaran,US,288,12,12
Kai Zhang,US,279,13,13
Kapil Gulati,US,233,14,14
Hongbin Liu,CN,229,15,1
Juan Montojo,US,222,16,15
Yue Wang,CN,221,17,2
Seyedkianoush Hosseini,US,209,18,16
Navid Abedini,US,203,19,17
Sarbajit K. Rakshit,IN,196,20,1
Shunpei Yamazaki,JP,189,21,1
Wooseok Nam,US,183,22,18
Jonathan P. Ive,US,176,23,19
Kyungmin Park,US,171,24,20
Jason L. Harris,US,169,25,21
Mostafa KHOSHNEVISAN,US,166,26,22
Chen-Hua Yu,TW,161,27,1
Duncan Robert Kerr,US,161,27,23
Kazuki Takeda,JP,159,29,2
Alberto Rico Alvarino,US,157,30,24
Hua Zhou,US,156,31,25
Bartley K. Andre,US,155,32,26
Richard P. Howarth,US,154,33,27
Wei Yang,US,150,34,28
Jun Wang,CN,148,35,3
Wei Zhang,CN,148,35,3
Peter Russell-Clarke,US,148,35,29
Hyoungsuk Jeon,US,146,38,30
M. Evans Hankey,US,145,39,31
Chih-Hao Wang,TW,144,40,2
Eugene Antony Whang,US,144,40,32
Jizheng Xu,US,143,42,33
Seunghwan KIM,KR,143,42,1
Takahiro NISHI,JP,141,44,3
Lei Zhang,CN,141,44,5
Seungmin LEE,KR,140,46,2
Jeremy Bataillou,US,139,47,34
Alireza Babaei,US,138,48,35
Huilin XU,US,138,48,35
Jung Ho Ryu,US,137,50,37
