company_name,country,patents
"SAMSUNG DISPLAY CO., LTD.",KR,10016
QUALCOMM Incorporated,US,3871
"Taiwan Semiconductor Manufacturing Company, Ltd.",TW,3687
International Business Machines Corporation,US,3661
CANON KABUSHIKI KAISHA,JP,2940
Apple Inc.,US,2927
LG ELECTRONICS INC.,KR,2602
"Micron Technology, Inc.",US,2235
Intel Corporation,US,2158
"HUAWEI TECHNOLOGIES CO., LTD.",CN,2139
GOOGLE LLC,US,1969
TOYOTA JIDOSHA KABUSHIKI KAISHA,JP,1937
"Microsoft Technology Licensing, LLC",US,1840
"Amazon Technologies, Inc.",US,1669
Hyundai Motor Company,KR,1652
"BOE Technology Group Co., Ltd.",CN,1647
"FORD GLOBAL TECHNOLOGIES, LLC",US,1432
SONY GROUP CORPORATION,JP,1267
"NIKE, Inc.",US,1233
Dell Products L.P.,US,1224
